start_iso,end_iso,elapsed_sec,step,returncode,dataset,lm,run_id,cmd
2026-01-20T23:29:54,2026-01-20T23:29:59,5.36,match_test,0,aircraft_er/baseline_lh_0,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_0 --input_path data/ditto_aircraft/baseline_lh_0/test.txt --output_path aircraft_er_predictions/baseline_lh_0_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T23:29:59,2026-01-20T23:37:57,478.124,train,0,aircraft_er/baseline_lh_1,distilbert,0,python train_ditto.py --task aircraft_er/baseline_lh_1 --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-20T23:37:57,2026-01-20T23:38:12,14.868,match_all,0,aircraft_er/baseline_lh_1,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_1 --input_path data/ditto_aircraft/baseline_lh_1/all_pairs.txt --output_path aircraft_er_predictions/baseline_lh_1_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T23:38:12,2026-01-20T23:38:18,5.261,match_test,0,aircraft_er/baseline_lh_1,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_1 --input_path data/ditto_aircraft/baseline_lh_1/test.txt --output_path aircraft_er_predictions/baseline_lh_1_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-20T23:38:18,2026-01-21T00:15:44,2246.459,train,0,aircraft_er/baseline_lh_2,distilbert,0,python train_ditto.py --task aircraft_er/baseline_lh_2 --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-21T00:15:44,2026-01-21T00:16:42,57.7,match_all,0,aircraft_er/baseline_lh_2,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_2 --input_path data/ditto_aircraft/baseline_lh_2/all_pairs.txt --output_path aircraft_er_predictions/baseline_lh_2_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T00:16:42,2026-01-21T00:16:57,15.526,match_test,0,aircraft_er/baseline_lh_2,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_2 --input_path data/ditto_aircraft/baseline_lh_2/test.txt --output_path aircraft_er_predictions/baseline_lh_2_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T00:16:57,2026-01-21T01:31:36,4478.984,train,0,aircraft_er/baseline_lh_3,distilbert,0,python train_ditto.py --task aircraft_er/baseline_lh_3 --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-21T01:31:36,2026-01-21T01:33:32,115.306,match_all,0,aircraft_er/baseline_lh_3,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_3 --input_path data/ditto_aircraft/baseline_lh_3/all_pairs.txt --output_path aircraft_er_predictions/baseline_lh_3_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T01:33:32,2026-01-21T01:34:01,29.745,match_test,0,aircraft_er/baseline_lh_3,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_3 --input_path data/ditto_aircraft/baseline_lh_3/test.txt --output_path aircraft_er_predictions/baseline_lh_3_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T01:34:01,2026-01-21T01:48:26,864.359,train,0,aircraft_er/baseline_lh_b,distilbert,0,python train_ditto.py --task aircraft_er/baseline_lh_b --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-21T01:48:26,2026-01-21T01:48:51,25.003,match_all,0,aircraft_er/baseline_lh_b,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_b --input_path data/ditto_aircraft/baseline_lh_b/all_pairs.txt --output_path aircraft_er_predictions/baseline_lh_b_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T01:48:51,2026-01-21T01:48:58,7.859,match_test,0,aircraft_er/baseline_lh_b,distilbert,0,python matcher.py --task aircraft_er/baseline_lh_b --input_path data/ditto_aircraft/baseline_lh_b/test.txt --output_path aircraft_er_predictions/baseline_lh_b_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T01:48:58,2026-01-21T01:59:27,628.573,train,0,aircraft_er/cictt_registry,distilbert,0,python train_ditto.py --task aircraft_er/cictt_registry --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-21T01:59:27,2026-01-21T01:59:43,15.443,match_all,0,aircraft_er/cictt_registry,distilbert,0,python matcher.py --task aircraft_er/cictt_registry --input_path data/ditto_aircraft/cictt_registry/all_pairs.txt --output_path aircraft_er_predictions/cictt_registry_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T01:59:43,2026-01-21T01:59:49,6.383,match_test,0,aircraft_er/cictt_registry,distilbert,0,python matcher.py --task aircraft_er/cictt_registry --input_path data/ditto_aircraft/cictt_registry/test.txt --output_path aircraft_er_predictions/cictt_registry_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T01:59:49,2026-01-21T02:10:22,632.996,train,0,aircraft_er/faa_registry,distilbert,0,python train_ditto.py --task aircraft_er/faa_registry --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-21T02:10:22,2026-01-21T02:10:37,15.274,match_all,0,aircraft_er/faa_registry,distilbert,0,python matcher.py --task aircraft_er/faa_registry --input_path data/ditto_aircraft/faa_registry/all_pairs.txt --output_path aircraft_er_predictions/faa_registry_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T02:10:37,2026-01-21T02:10:44,6.773,match_test,0,aircraft_er/faa_registry,distilbert,0,python matcher.py --task aircraft_er/faa_registry --input_path data/ditto_aircraft/faa_registry/test.txt --output_path aircraft_er_predictions/faa_registry_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T02:10:44,2026-01-21T02:26:25,941.029,train,0,aircraft_er/union,distilbert,0,python train_ditto.py --task aircraft_er/union --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-21T02:26:25,2026-01-21T02:26:51,25.744,match_all,0,aircraft_er/union,distilbert,0,python matcher.py --task aircraft_er/union --input_path data/ditto_aircraft/union/all_pairs.txt --output_path aircraft_er_predictions/union_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-21T02:26:51,2026-01-21T02:27:01,10.205,match_test,0,aircraft_er/union,distilbert,0,python matcher.py --task aircraft_er/union --input_path data/ditto_aircraft/union/test.txt --output_path aircraft_er_predictions/union_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:17:37,2026-01-22T14:17:41,3.793,train,1,aircraft_er/make_model_cictt,distilbert,0,python train_ditto.py --task aircraft_er/make_model_cictt --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-22T14:29:54,2026-01-22T14:30:22,28.363,train,0,aircraft_er/make_model_cictt,distilbert,0,python train_ditto.py --task aircraft_er/make_model_cictt --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:30:22,2026-01-22T14:30:46,23.896,match_all,0,aircraft_er/make_model_cictt,distilbert,0,python matcher.py --task aircraft_er/make_model_cictt --input_path data/ditto_aircraft/make_model_cictt/all_pairs.txt --output_path aircraft_er_predictions/make_model_cictt_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:30:46,2026-01-22T14:30:55,9.36,match_test,0,aircraft_er/make_model_cictt,distilbert,0,python matcher.py --task aircraft_er/make_model_cictt --input_path data/ditto_aircraft/make_model_cictt/test.txt --output_path aircraft_er_predictions/make_model_cictt_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:30:55,2026-01-22T14:31:29,33.156,train,0,aircraft_er/make_model_cictt_no_lh,distilbert,0,python train_ditto.py --task aircraft_er/make_model_cictt_no_lh --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:31:29,2026-01-22T14:31:57,28.752,match_all,0,aircraft_er/make_model_cictt_no_lh,distilbert,0,python matcher.py --task aircraft_er/make_model_cictt_no_lh --input_path data/ditto_aircraft/make_model_cictt_no_lh/all_pairs.txt --output_path aircraft_er_predictions/make_model_cictt_no_lh_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
